Date,close,type,p-b change,bar,ma9,ma50,ma3,ma20,zigzag,zz trend,ema12,ema26,MACD,signal,slope MACD,slope signal,buy pt,ma3 above ma9,ma20 above ma50,day of interest
2022-08-01,297.27667236328125,,,,274.3211093478733,241.86626678466797,291.7755533854167,254.89533309936525,1,,270.72628327296417,257.7520552300361,12.974228042928075,7.466970931804037,,,False,True,True,
2022-08-02,300.586669921875,,,,280.2196282280816,243.1485336303711,298.33777872721356,258.2713333129883,0,-1.0,275.32018891125813,260.9249896516538,14.39519925960434,8.852616597364099,1.4209712166762642,1.3856456655600615,False,True,True,
2022-08-03,307.39666748046875,,,,284.18518405490454,244.8704669189453,301.7533365885417,262.0544998168945,0,-1.0,280.2550317680598,264.36733615749193,15.887695610567846,10.259632400004849,1.4924963509635063,1.4070158026407498,False,True,True,
2022-08-04,308.6333312988281,1.0,,0.0,288.228515625,246.5438003540039,305.5388895670573,265.2589996337891,0,-1.0,284.6209240035626,267.64629876055386,16.974625243008745,11.602630968605629,1.0869296324408992,1.3429985686007804,False,True,True,
2022-08-05,288.1700134277344,-1.0,-0.06630300682359076,1.0,290.4214816623264,248.11946716308594,301.40000406901044,267.12933349609375,0,-1.0,285.1669377611275,269.1665739210858,16.0003638400417,12.482177542892844,-0.9742614029670449,0.8795465742872146,False,True,True,
2022-08-08,290.42333984375,1.0,0.007819434052879694,1.0,293.92852105034723,249.53593383789064,295.7422281901042,269.9333335876465,0,-1.0,285.9756150046079,270.74114917461645,15.23446582999145,13.032635200312566,-0.7658980100502504,0.550457657419722,False,True,True,
2022-08-09,283.3333435058594,-1.0,-0.024412625864385067,1.0,294.8744472927517,250.48440063476562,287.30889892578125,272.44650039672854,-1,-1.0,285.56911169710816,271.6739043102641,13.89520738684405,13.205149637618863,-1.3392584431474006,0.17251443730629745,False,False,True,
2022-08-10,294.3566589355469,1.0,0.038905817766766077,1.0,296.36963229709204,251.30733367919922,289.37111409505206,275.31233367919924,0,1.0,286.92104204148336,273.3541083565813,13.56693368490204,13.277506447075499,-0.32827370194200967,0.07235680945663603,False,False,True,
2022-08-11,286.6300048828125,-1.0,-0.02624929254420646,1.0,295.20074462890625,251.98486724853515,288.10666910807294,277.7281669616699,0,1.0,286.8762670939955,274.3375080992651,12.538758994730415,13.129756956606483,-1.0281746901716247,-0.14774949046901575,False,False,True,
2022-08-12,300.0299987792969,,,,295.50666978624133,253.04966735839844,293.67222086588544,280.72633361816406,0,1.0,288.89991812250344,276.2406555570453,12.659262565458164,13.03565807837682,0.12050357072774887,-0.0940988782296639,False,False,True,
2022-08-15,309.32000732421875,1.0,0.07916129524082088,2.0,296.47704060872394,254.06940063476563,298.6600036621094,284.16500091552734,1,1.0,292.0414703073827,278.69097791016924,13.350492397213486,13.098624942144152,0.6912298317553223,0.06296686376733263,False,True,True,
2022-08-16,306.5633239746094,,,,296.3844468858507,255.5103338623047,305.304443359375,287.21666717529297,0,-1.0,294.2756016408022,280.7555961371648,13.520005503637435,13.182901054442809,0.169513106423949,0.08427611229865661,False,True,True,
2022-08-17,303.9966735839844,,,,295.8692626953125,256.8246673583984,306.6266682942708,290.0415008544922,0,-1.0,295.77115117052256,282.4771574295218,13.293993741000747,13.205119591754398,-0.22601176263668776,0.022218537311589515,False,True,True,
2022-08-18,302.8699951171875,,,,297.5025939941406,258.10433380126955,304.47666422526044,291.59966735839845,0,-1.0,296.863281008471,283.9877379989785,12.875543009492503,13.13920427530202,-0.4184507315082442,-0.06591531645237758,False,True,True,
