,start,end,stock,buy point filter,sell strategy,revenue,trade times,revenue if buy and hold
0,2020-08-20,2023-08-20,AAPL,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.8925021562805173,13.0,0.47220603332519534
1,2020-08-20,2023-08-20,MSFT,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.29608791619873026,16.0,0.4687400421142578
2,2020-08-20,2023-08-20,AMZN,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.26088782965087903,13.0,-0.1898909912109375
3,2020-08-20,2023-08-20,NVDA,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,2.455514062988282,34.0,2.554955889892578
4,2020-08-20,2023-08-20,GOOGL,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.8409861267395016,13.0,0.6129584884643555
5,2020-08-20,2023-08-20,GOOG,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.9349149649353018,12.0,0.6176834884643555
6,2020-08-20,2023-08-20,META,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.19098202490234326,20.0,0.0526879638671875
7,2020-08-20,2023-08-20,TSLA,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,2.997810742431642,30.0,0.60705654296875
8,2020-08-20,2023-08-20,BRK-B,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.45825989862060523,13.0,0.70291201171875
9,2020-08-20,2023-08-20,UNH,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.16778309057617188,19.0,0.573841049194336
10,2020-08-20,2023-08-20,LLY,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,1.7504468320312494,22.0,2.607593975830078
11,2020-08-20,2023-08-20,XOM,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,1.203253244003296,25.0,1.6630240295410157
12,2020-08-20,2023-08-20,JPM,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.4004898646850585,16.0,0.5263199844360351
13,2020-08-20,2023-08-20,JNJ,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,-0.1571641334838865,14.0,0.13906204833984376
14,2020-08-20,2023-08-20,V,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.13525703997802738,12.0,0.1632960205078125
15,2020-08-20,2023-08-20,AVGO,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.9042641541748045,19.0,1.4910301208496093
16,2020-08-20,2023-08-20,PG,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.1311289464111329,8.0,0.11453690643310546
17,2020-08-20,2023-08-20,MA,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.22414495251464794,15.0,0.15906501770019532
18,2020-08-20,2023-08-20,HD,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,-0.05556499353027357,16.0,0.16341500854492189
19,2020-08-20,2023-08-20,CVX,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.7828639362487793,14.0,0.8902529571533203
20,2020-08-20,2023-08-20,MRK,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.43874984197998074,16.0,0.3451933364868164
21,2020-08-20,2023-08-20,ABBV,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.3673731999206546,11.0,0.5768700256347656
22,2020-08-20,2023-08-20,PEP,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.13648183129882818,13.0,0.3026579376220703
23,2020-08-20,2023-08-20,ADBE,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,1.173329930908203,10.0,0.05929998779296875
24,2020-08-20,2023-08-20,COST,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.2926809849853513,16.0,0.5918030212402344
25,2020-08-20,2023-08-20,KO,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.08478186930847187,12.0,0.2869600482940674
26,2020-08-20,2023-08-20,CSCO,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.31068704913330075,13.0,0.3004279891967773
27,2020-08-20,2023-08-20,WMT,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,-0.02869506295776355,15.0,0.207935888671875
28,2020-08-20,2023-08-20,TMO,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.07354094226074266,16.0,0.253621044921875
29,2020-08-20,2023-08-20,PFE,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.5465952391815183,13.0,-0.002073846435546875
30,2020-08-20,2023-08-20,MCD,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.012947015014648969,14.0,0.33774193115234374
31,2020-08-20,2023-08-20,CRM,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.41726918377685596,15.0,-0.021995965576171873
32,2020-08-20,2023-08-20,ACN,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.4419979760742184,10.0,0.2785860076904297
