,start,end,stock,buy point filter,sell strategy,revenue,trade times,revenue if buy and hold
0,2020-08-20,2023-08-20,AAPL,"CONVERGING_DROP, RISING_PEAK, ",SellStrategy.TRAILING_AND_FIXED_SL,0.5591610030517581,13.0,0.47220603332519534
1,2020-08-20,2023-08-20,MSFT,"CONVERGING_DROP, RISING_PEAK, ",SellStrategy.TRAILING_AND_FIXED_SL,0.0798171042480466,18.0,0.4687400421142578
2,2020-08-20,2023-08-20,AMZN,"CONVERGING_DROP, RISING_PEAK, ",SellStrategy.TRAILING_AND_FIXED_SL,0.09015160769653284,23.0,-0.1898909912109375
3,2020-08-20,2023-08-20,NVDA,"CONVERGING_DROP, RISING_PEAK, ",SellStrategy.TRAILING_AND_FIXED_SL,0.36304961663818397,18.0,2.554955889892578
4,2020-08-20,2023-08-20,GOOGL,"CONVERGING_DROP, RISING_PEAK, ",SellStrategy.TRAILING_AND_FIXED_SL,0.32392578488159124,17.0,0.6129584884643555
5,2020-08-20,2023-08-20,GOOG,"CONVERGING_DROP, RISING_PEAK, ",SellStrategy.TRAILING_AND_FIXED_SL,0.2470258218078614,18.0,0.6176834884643555
6,2020-08-20,2023-08-20,META,"CONVERGING_DROP, RISING_PEAK, ",SellStrategy.TRAILING_AND_FIXED_SL,0.3245779744873045,23.0,0.0526879638671875
7,2020-08-20,2023-08-20,TSLA,"CONVERGING_DROP, RISING_PEAK, ",SellStrategy.TRAILING_AND_FIXED_SL,1.7159565224609388,23.0,0.60705654296875
8,2020-08-20,2023-08-20,BRK-B,"CONVERGING_DROP, RISING_PEAK, ",SellStrategy.TRAILING_AND_FIXED_SL,0.37027000366210905,12.0,0.70291201171875
9,2020-08-20,2023-08-20,UNH,"CONVERGING_DROP, RISING_PEAK, ",SellStrategy.TRAILING_AND_FIXED_SL,0.037152119140625106,14.0,0.573841049194336
10,2020-08-20,2023-08-20,LLY,"CONVERGING_DROP, RISING_PEAK, ",SellStrategy.TRAILING_AND_FIXED_SL,1.675719982177734,12.0,2.607593975830078
11,2020-08-20,2023-08-20,XOM,"CONVERGING_DROP, RISING_PEAK, ",SellStrategy.TRAILING_AND_FIXED_SL,0.2750078251037592,20.0,1.6630240295410157
12,2020-08-20,2023-08-20,JPM,"CONVERGING_DROP, RISING_PEAK, ",SellStrategy.TRAILING_AND_FIXED_SL,0.18306508016967782,17.0,0.5263199844360351
13,2020-08-20,2023-08-20,JNJ,"CONVERGING_DROP, RISING_PEAK, ",SellStrategy.TRAILING_AND_FIXED_SL,0.11510907061767557,11.0,0.13906204833984376
14,2020-08-20,2023-08-20,V,"CONVERGING_DROP, RISING_PEAK, ",SellStrategy.TRAILING_AND_FIXED_SL,-0.04309813739013698,16.0,0.1632960205078125
15,2020-08-20,2023-08-20,AVGO,"CONVERGING_DROP, RISING_PEAK, ",SellStrategy.TRAILING_AND_FIXED_SL,0.6672399899902343,14.0,1.4910301208496093
16,2020-08-20,2023-08-20,PG,"CONVERGING_DROP, RISING_PEAK, ",SellStrategy.TRAILING_AND_FIXED_SL,0.3414569049682619,8.0,0.11453690643310546
17,2020-08-20,2023-08-20,MA,"CONVERGING_DROP, RISING_PEAK, ",SellStrategy.TRAILING_AND_FIXED_SL,0.10280205895996114,16.0,0.15906501770019532
18,2020-08-20,2023-08-20,HD,"CONVERGING_DROP, RISING_PEAK, ",SellStrategy.TRAILING_AND_FIXED_SL,0.5189589545898436,13.0,0.16341500854492189
19,2020-08-20,2023-08-20,CVX,"CONVERGING_DROP, RISING_PEAK, ",SellStrategy.TRAILING_AND_FIXED_SL,0.6181029732666017,16.0,0.8902529571533203
20,2020-08-20,2023-08-20,MRK,"CONVERGING_DROP, RISING_PEAK, ",SellStrategy.TRAILING_AND_FIXED_SL,0.3116037618103024,16.0,0.3451933364868164
21,2020-08-20,2023-08-20,ABBV,"CONVERGING_DROP, RISING_PEAK, ",SellStrategy.TRAILING_AND_FIXED_SL,0.6030890107421876,12.0,0.5768700256347656
22,2020-08-20,2023-08-20,PEP,"CONVERGING_DROP, RISING_PEAK, ",SellStrategy.TRAILING_AND_FIXED_SL,0.2573680704345703,9.0,0.3026579376220703
23,2020-08-20,2023-08-20,ADBE,"CONVERGING_DROP, RISING_PEAK, ",SellStrategy.TRAILING_AND_FIXED_SL,0.044844104003906066,19.0,0.05929998779296875
24,2020-08-20,2023-08-20,COST,"CONVERGING_DROP, RISING_PEAK, ",SellStrategy.TRAILING_AND_FIXED_SL,0.5403932136230465,14.0,0.5918030212402344
25,2020-08-20,2023-08-20,KO,"CONVERGING_DROP, RISING_PEAK, ",SellStrategy.TRAILING_AND_FIXED_SL,-0.07575095135498014,13.0,0.2869600482940674
26,2020-08-20,2023-08-20,CSCO,"CONVERGING_DROP, RISING_PEAK, ",SellStrategy.TRAILING_AND_FIXED_SL,0.34078623597717267,14.0,0.3004279891967773
27,2020-08-20,2023-08-20,WMT,"CONVERGING_DROP, RISING_PEAK, ",SellStrategy.TRAILING_AND_FIXED_SL,0.20521216766357428,13.0,0.207935888671875
28,2020-08-20,2023-08-20,TMO,"CONVERGING_DROP, RISING_PEAK, ",SellStrategy.TRAILING_AND_FIXED_SL,0.23761876477050792,15.0,0.253621044921875
29,2020-08-20,2023-08-20,PFE,"CONVERGING_DROP, RISING_PEAK, ",SellStrategy.TRAILING_AND_FIXED_SL,0.9414934084014894,12.0,-0.002073846435546875
