,start,end,stock,buy strategy,sell strategy,revenue,trade times,revenue if buy and hold
0,2022-08-20,2023-08-20,AAPL,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.21535598388671878,2.0,0.040827989196777346
1,2022-08-20,2023-08-20,MSFT,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.1615660463867185,3.0,0.13942803955078126
2,2022-08-20,2023-08-20,AMZN,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.18262098748779299,3.0,0.0
3,2022-08-20,2023-08-20,NVDA,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,1.000877995788575,11.0,1.5233699645996093
4,2022-08-20,2023-08-20,GOOGL,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.17087698577880855,3.0,0.1150140106201172
5,2022-08-20,2023-08-20,GOOG,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.1696169542846681,3.0,0.11214400787353515
6,2022-08-20,2023-08-20,META,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.42453395739746086,4.0,0.7332199813842774
7,2022-08-20,2023-08-20,TSLA,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.6548160567016607,4.0,-0.25303930358886717
8,2022-08-20,2023-08-20,BRK-B,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.1198179631347657,3.0,0.2171579833984375
9,2022-08-20,2023-08-20,UNH,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.16102596630859425,8.0,-0.0830340087890625
10,2022-08-20,2023-08-20,LLY,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.37335401635742166,9.0,0.6699899597167969
11,2022-08-20,2023-08-20,XOM,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.13435704199218745,8.0,0.16991798706054687
12,2022-08-20,2023-08-20,JPM,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.09459194525146486,5.0,0.27455002593994143
13,2022-08-20,2023-08-20,JNJ,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.019230002746581886,2.0,0.028910054016113282
14,2022-08-20,2023-08-20,V,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.09284800634765633,4.0,0.13893198852539063
15,2022-08-20,2023-08-20,AVGO,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.4665349887695314,4.0,0.5347620483398438
16,2022-08-20,2023-08-20,PG,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.035640951354980646,4.0,0.021185943603515625
17,2022-08-20,2023-08-20,MA,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.12398406494140636,4.0,0.13064801025390624
18,2022-08-20,2023-08-20,HD,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.11413396374511722,6.0,0.04851201171875
19,2022-08-20,2023-08-20,CVX,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.021649938354492224,3.0,0.0252
20,2022-08-20,2023-08-20,MRK,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.18202189971923818,7.0,0.19663592681884765
21,2022-08-20,2023-08-20,ABBV,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.00970595831298815,3.0,0.06958002166748047
22,2022-08-20,2023-08-20,PEP,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.05303396850585959,4.0,-0.00151202392578125
23,2022-08-20,2023-08-20,ADBE,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.46659999865722657,3.0,0.2322719970703125
24,2022-08-20,2023-08-20,COST,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.013399996826171991,4.0,-0.00095394287109375
25,2022-08-20,2023-08-20,KO,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.058942926742553754,5.0,-0.05037494087219238
26,2022-08-20,2023-08-20,CSCO,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.1015410386199952,6.0,0.15319703826904296
27,2022-08-20,2023-08-20,WMT,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.09734501629638671,4.0,0.1728638916015625
28,2022-08-20,2023-08-20,TMO,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.1445191303710939,7.0,-0.074340966796875
29,2022-08-20,2023-08-20,PFE,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.030096027832031358,1.0,-0.24969603424072265
30,2022-08-20,2023-08-20,MCD,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.06781399499511771,6.0,0.07140191650390625
31,2022-08-20,2023-08-20,CRM,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.08183106347656267,6.0,0.1559600341796875
32,2022-08-20,2023-08-20,ACN,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.0012159999999999855,2.0,-0.0225919921875
33,2022-08-20,2023-08-20,BAC,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.012452010894775413,3.0,-0.161568017578125
34,2022-08-20,2023-08-20,NFLX,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.4986730720214844,11.0,0.7831560241699219
35,2022-08-20,2023-08-20,CMCSA,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.15808100010681156,4.0,0.2157099838256836
36,2022-08-20,2023-08-20,LIN,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.08201304089355471,4.0,0.26172299194335935
37,2022-08-20,2023-08-20,ABT,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.02504704537963862,5.0,-0.03478198013305664
38,2022-08-20,2023-08-20,ORCL,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.3784130475158694,5.0,0.52
39,2022-08-20,2023-08-20,AMD,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.24694297000122095,9.0,0.13492700653076173
40,2022-08-20,2023-08-20,DHR,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.1322850177001952,4.0,-0.11753802490234375
41,2022-08-20,2023-08-20,DIS,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.020695980957031134,1.0,-0.2578280288696289
42,2022-08-20,2023-08-20,WFC,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.04203697463989247,3.0,-0.042974996566772464
43,2022-08-20,2023-08-20,TXN,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.07159694232177771,7.0,-0.028709982299804686
44,2022-08-20,2023-08-20,PM,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.04186905111694323,3.0,-0.03969300308227539
45,2022-08-20,2023-08-20,INTC,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.09870590296936006,10.0,-0.032155004501342774
46,2022-08-20,2023-08-20,INTU,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.01482893554687489,8.0,0.08764799194335937
47,2022-08-20,2023-08-20,CAT,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.006360912536621254,6.0,0.4266079650878906
48,2022-08-20,2023-08-20,COP,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.10022487652587879,5.0,0.11447502899169922
49,2022-08-20,2023-08-20,VZ,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.009503955688476525,1.0,-0.2483739517211914
50,2022-08-20,2023-08-20,overall,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.12217060454650876,,0.13641523242950437
trail stop=0.05, fixed stop loss=0.03, profit target=None
