,start,end,stock,buy strategy,sell strategy,revenue,trade times,revenue if buy and hold
0,2008-03-01,2009-03-01,AAPL,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.1842466501693727,6.0,-0.2663070964813232
1,2008-03-01,2009-03-01,MSFT,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.08546106728363047,6.0,-0.40108000564575197
2,2008-03-01,2009-03-01,AMZN,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.14912253879165638,9.0,0.03779540977478028
3,2008-03-01,2009-03-01,NVDA,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.19831400442123376,8.0,-0.6082779837608338
4,2008-03-01,2009-03-01,GOOGL,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.1791488477230072,7.0,-0.2603409362792969
5,2008-03-01,2009-03-01,GOOG,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.1796129267730712,7.0,-0.26029519500732423
6,2008-03-01,2009-03-01,BRK-B,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.004096030654907191,4.0,-0.427900016784668
7,2008-03-01,2009-03-01,UNH,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.35911009237670916,5.0,-0.5740499753952026
8,2008-03-01,2009-03-01,LLY,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.04130607666015621,4.0,-0.41411898937225344
9,2008-03-01,2009-03-01,XOM,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.1546900379333494,5.0,-0.22430498275756836
10,2008-03-01,2009-03-01,JPM,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.18488696144104014,7.0,-0.42594698276519777
11,2008-03-01,2009-03-01,JNJ,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.06144707806396491,5.0,-0.19567999267578126
12,2008-03-01,2009-03-01,PG,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.035056899566650465,5.0,-0.2727000045776367
13,2008-03-01,2009-03-01,MA,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.02744798275375306,9.0,-0.1618090238571167
14,2008-03-01,2009-03-01,HD,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.05923998861694363,7.0,-0.22878002815246581
15,2008-03-01,2009-03-01,CVX,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.10123895724487247,7.0,-0.30198597564697266
16,2008-03-01,2009-03-01,MRK,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.12412989719390825,8.0,-0.44912405891418455
17,2008-03-01,2009-03-01,PEP,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.13965291346740705,7.0,-0.31282598266601563
18,2008-03-01,2009-03-01,ADBE,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.20839201938629176,6.0,-0.49126399536132814
19,2008-03-01,2009-03-01,COST,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.011318022247314548,4.0,-0.32070297088623045
20,2008-03-01,2009-03-01,KO,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.15032201280212376,6.0,-0.3070730335235596
21,2008-03-01,2009-03-01,CSCO,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.10289601113891604,4.0,-0.4020469968795776
22,2008-03-01,2009-03-01,WMT,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.08118205422973625,7.0,-0.012999954223632813
23,2008-03-01,2009-03-01,TMO,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.012314068908691115,5.0,-0.3447000274658203
24,2008-03-01,2009-03-01,PFE,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.05448915213012715,7.0,-0.4460740188598633
25,2008-03-01,2009-03-01,MCD,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.026408924179077257,4.0,-0.017107997131347655
26,2008-03-01,2009-03-01,CRM,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.2651527786445615,9.0,-0.5230900077819824
27,2008-03-01,2009-03-01,ACN,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.08816892762756379,6.0,-0.16273401527404785
28,2008-03-01,2009-03-01,BAC,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.04033501834106446,5.0,-0.8983650065660477
