,start,end,stock,buy strategy,sell strategy,revenue,trade times,revenue if buy and hold
0,2020-06-01,2021-06-01,AAPL,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.22041725781250024,6.0,0.5474289886474609
1,2020-06-01,2021-06-01,MSFT,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.036944981933593773,7.0,0.36098995056152344
2,2020-06-01,2021-06-01,AMZN,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.07081083276367225,10.0,0.30081201171875
3,2020-06-01,2021-06-01,NVDA,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.14054680291748045,7.0,0.8405223327636718
4,2020-06-01,2021-06-01,GOOGL,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.10138599728393582,6.0,0.6407760864257812
5,2020-06-01,2021-06-01,GOOG,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.14348990350341773,6.0,0.6809192932128906
6,2020-06-01,2021-06-01,META,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.03088201586914056,8.0,0.4163260314941406
7,2020-06-01,2021-06-01,TSLA,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.30557827859497083,8.0,2.480506594467163
8,2020-06-01,2021-06-01,BRK-B,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.34506297534179686,3.0,0.5702400329589844
9,2020-06-01,2021-06-01,UNH,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.09939906689453128,4.0,0.33916806640625
10,2020-06-01,2021-06-01,LLY,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.37615297662353514,4.0,0.3073850555419922
11,2020-06-01,2021-06-01,XOM,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.016545121826172182,7.0,0.26114400329589843
12,2020-06-01,2021-06-01,JPM,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.18326704550170908,6.0,0.662964070892334
13,2020-06-01,2021-06-01,JNJ,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.005528019714355105,5.0,0.14780198364257813
14,2020-06-01,2021-06-01,V,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.008889053771972794,6.0,0.16804498443603516
15,2020-06-01,2021-06-01,AVGO,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.27615986303710943,5.0,0.6199559875488281
16,2020-06-01,2021-06-01,PG,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.019665012542724618,6.0,0.14960005187988282
17,2020-06-01,2021-06-01,MA,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.0437810710449221,6.0,0.19529397583007813
