,start,end,stock,buy point filter,sell strategy,revenue,trade times,revenue if buy and hold
0,2018-08-20,2023-08-20,AAPL,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,3.9568053574676525,21.0,2.2315625705718993
1,2018-08-20,2023-08-20,MSFT,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.9488827771606444,29.0,1.9493730766296387
2,2018-08-20,2023-08-20,AMZN,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.9918698458557123,24.0,0.4174756851196289
3,2018-08-20,2023-08-20,NVDA,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,9.077869750457763,48.0,5.973582857513428
4,2018-08-20,2023-08-20,GOOGL,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,1.2249675804901123,25.0,1.0817087375640868
5,2018-08-20,2023-08-20,GOOG,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,1.2473533443908695,24.0,1.1174047565460206
6,2018-08-20,2023-08-20,META,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.2418122183227535,31.0,0.631275
7,2018-08-20,2023-08-20,TSLA,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,41.43070772679139,45.0,9.473468609619141
8,2018-08-20,2023-08-20,BRK-B,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.5270268295288082,20.0,0.6772699569702149
9,2018-08-20,2023-08-20,UNH,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.35247710772705104,29.0,0.8969520324707031
10,2018-08-20,2023-08-20,LLY,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,2.073912869049072,35.0,4.141733934020996
11,2018-08-20,2023-08-20,XOM,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,1.0136273332519534,30.0,0.3934980422973633
12,2018-08-20,2023-08-20,JPM,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.49676888067626934,23.0,0.2988449867248535
13,2018-08-20,2023-08-20,JNJ,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.004191706604003411,22.0,0.2599530044555664
14,2018-08-20,2023-08-20,V,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.5088260097045899,21.0,0.6806099700927735
15,2018-08-20,2023-08-20,AVGO,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,1.1259850706787111,29.0,2.971776123046875
16,2018-08-20,2023-08-20,PG,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.4402089475402834,14.0,0.819909927368164
17,2018-08-20,2023-08-20,MA,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.3839988903808595,28.0,0.899616064453125
18,2018-08-20,2023-08-20,HD,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.2612809842529294,23.0,0.6472000122070313
19,2018-08-20,2023-08-20,CVX,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.5815349053649906,20.0,0.3624599487304688
20,2018-08-20,2023-08-20,MRK,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.5600982178039549,23.0,0.629433943939209
21,2018-08-20,2023-08-20,ABBV,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.8567122359924316,15.0,0.5356020217895507
22,2018-08-20,2023-08-20,PEP,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.4285936349487309,18.0,0.5510579681396485
23,2018-08-20,2023-08-20,ADBE,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,1.882057728942871,26.0,1.0334800415039063
24,2018-08-20,2023-08-20,COST,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.7236339909057613,26.0,1.3656369842529297
25,2018-08-20,2023-08-20,KO,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.3886949141998293,16.0,0.3028860260009766
26,2018-08-20,2023-08-20,CSCO,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.561786054519653,20.0,0.19051199340820313
27,2018-08-20,2023-08-20,WMT,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.15084201281738316,23.0,0.644071923828125
28,2018-08-20,2023-08-20,TMO,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,1.0062568674316408,28.0,1.2996320236206054
29,2018-08-20,2023-08-20,PFE,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.28591041009521484,19.0,-0.08683197631835937
30,2018-08-20,2023-08-20,MCD,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.29417006707763704,18.0,0.7323659851074219
31,2018-08-20,2023-08-20,CRM,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.5902702584228515,30.0,0.402015966796875
32,2018-08-20,2023-08-20,ACN,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.8215070416259765,16.0,0.8269200439453125
33,2018-08-20,2023-08-20,BAC,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.45227901381683366,22.0,-0.0568480073928833
34,2018-08-20,2023-08-20,NFLX,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.8536261865234381,39.0,0.23039996337890625
35,2018-08-20,2023-08-20,CMCSA,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.4790409644470214,20.0,0.2913059440612793
36,2018-08-20,2023-08-20,LIN,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.3905720275268557,23.0,1.3659030807495116
