,start,end,stock,buy point filter,sell strategy,revenue,trade times,revenue if buy and hold
0,2008-03-01,2010-03-01,AAPL,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.39684449270439165,11.0,0.6808821535110474
1,2008-03-01,2010-03-01,MSFT,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.4257380045547485,5.0,0.062160011291503905
2,2008-03-01,2010-03-01,AMZN,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.672197930501938,17.0,0.8963595695495605
3,2008-03-01,2010-03-01,NVDA,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.4081311867856981,17.0,-0.23366193504333496
4,2008-03-01,2010-03-01,GOOGL,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.40240031570053086,7.0,0.15262184658050537
5,2008-03-01,2010-03-01,GOOG,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.40326789781951866,7.0,0.15259513664245605
6,2008-03-01,2010-03-01,BRK-B,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.2466389774169922,5.0,-0.11055003356933593
7,2008-03-01,2010-03-01,UNH,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.16231296672058124,13.0,-0.26853495407104494
8,2008-03-01,2010-03-01,LLY,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,-0.04258693432617183,4.0,-0.31541496963500976
9,2008-03-01,2010-03-01,XOM,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,-0.13118605053710963,6.0,-0.257075
10,2008-03-01,2010-03-01,JPM,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,-0.072373939025879,10.0,0.05396503829956055
11,2008-03-01,2010-03-01,JNJ,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.05589991029357898,5.0,0.01232000732421875
12,2008-03-01,2010-03-01,PG,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.025871888320922697,6.0,-0.04604999542236328
