,start,end,stock,buy point filter,sell strategy,revenue,trade times,revenue if buy and hold
0,2020-06-01,2021-06-01,AAPL,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.46229607150268565,8.0,0.5474289886474609
1,2020-06-01,2021-06-01,MSFT,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.06828291613769542,11.0,0.36098995056152344
2,2020-06-01,2021-06-01,AMZN,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.30445267706298834,9.0,0.30081201171875
3,2020-06-01,2021-06-01,NVDA,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.618807073852539,14.0,0.8405223327636718
4,2020-06-01,2021-06-01,GOOGL,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.416916065826416,9.0,0.6407760864257812
5,2020-06-01,2021-06-01,GOOG,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.5308675227966307,8.0,0.6809192932128906
6,2020-06-01,2021-06-01,META,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,-0.08631885205078178,15.0,0.4163260314941406
7,2020-06-01,2021-06-01,TSLA,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,4.023798462768555,18.0,2.480506594467163
8,2020-06-01,2021-06-01,BRK-B,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.2687530092163086,6.0,0.5702400329589844
9,2020-06-01,2021-06-01,UNH,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.22102913098144528,6.0,0.33916806640625
10,2020-06-01,2021-06-01,LLY,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,-0.03496800134277346,7.0,0.3073850555419922
11,2020-06-01,2021-06-01,XOM,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.39453806149292,5.0,0.26114400329589843
12,2020-06-01,2021-06-01,JPM,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.5858590345764162,6.0,0.662964070892334
13,2020-06-01,2021-06-01,JNJ,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.0007198710937500436,6.0,0.14780198364257813
14,2020-06-01,2021-06-01,V,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.143697971862793,7.0,0.16804498443603516
15,2020-06-01,2021-06-01,AVGO,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.2419389726562502,9.0,0.6199559875488281
16,2020-06-01,2021-06-01,PG,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.05722706469726545,4.0,0.14960005187988282
17,2020-06-01,2021-06-01,MA,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.20616175622558602,9.0,0.19529397583007813
18,2020-06-01,2021-06-01,HD,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.021038997131347607,8.0,0.28648004150390627
19,2020-06-01,2021-06-01,CVX,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.22757091201782223,4.0,0.1177
20,2020-06-01,2021-06-01,MRK,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,-0.10535832653808593,4.0,-0.04587498626708984
21,2020-06-01,2021-06-01,ABBV,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.004158040252685532,6.0,0.2475
22,2020-06-01,2021-06-01,PEP,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,-0.008726072448730337,5.0,0.1121249771118164
23,2020-06-01,2021-06-01,ADBE,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.3227808840332031,9.0,0.28724998474121094
24,2020-06-01,2021-06-01,COST,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.019391882080077995,7.0,0.2239359375
25,2020-06-01,2021-06-01,KO,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.1233109536285403,5.0,0.1759599838256836
26,2020-06-01,2021-06-01,CSCO,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.06963098899841298,5.0,0.14190004920959473
27,2020-06-01,2021-06-01,WMT,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.08338901678466791,5.0,0.14455999755859375
28,2020-06-01,2021-06-01,TMO,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.3014620996093754,8.0,0.33647603759765626
29,2020-06-01,2021-06-01,PFE,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.01358239913940397,5.0,0.1510760227203369
30,2020-06-01,2021-06-01,MCD,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.06887996643066399,5.0,0.24634397735595703
31,2020-06-01,2021-06-01,CRM,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.44902508691406273,9.0,0.3457440307617187
32,2020-06-01,2021-06-01,ACN,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.23630202038574208,6.0,0.3860219940185547
33,2020-06-01,2021-06-01,BAC,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.705708852294922,6.0,0.7218679504394532
34,2020-06-01,2021-06-01,NFLX,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.037613119995116906,13.0,0.17684696350097656
35,2020-06-01,2021-06-01,CMCSA,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.273864040527344,6.0,0.4255679962158203
36,2020-06-01,2021-06-01,LIN,"MA_SHORT_ABOVE_LONG, ",SellStrategy.TRAILING_STOP,0.38433103460693385,7.0,0.4578240234375
