,start,end,stock,buy strategy,sell strategy,revenue,trade times,revenue if buy and hold
0,2008-03-01,2010-03-01,AAPL,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.5082412302188873,11.0,0.6808821535110474
1,2008-03-01,2010-03-01,MSFT,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.026575048316955507,12.0,0.062160011291503905
2,2008-03-01,2010-03-01,AMZN,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.12065415811729417,16.0,0.8963595695495605
3,2008-03-01,2010-03-01,NVDA,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.3838929958438868,18.0,-0.23366193504333496
4,2008-03-01,2010-03-01,GOOGL,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.6717886811237331,10.0,0.15262184658050537
5,2008-03-01,2010-03-01,GOOG,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.6724738000183105,10.0,0.15259513664245605
6,2008-03-01,2010-03-01,BRK-B,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.06204695661926271,12.0,-0.11055003356933593
7,2008-03-01,2010-03-01,UNH,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.7963921582031253,11.0,-0.26853495407104494
8,2008-03-01,2010-03-01,LLY,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.040735826187133714,10.0,-0.31541496963500976
9,2008-03-01,2010-03-01,XOM,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.2914850892028807,13.0,-0.257075
10,2008-03-01,2010-03-01,JPM,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.18376686105346715,16.0,0.05396503829956055
11,2008-03-01,2010-03-01,JNJ,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.10594094973754872,7.0,0.01232000732421875
12,2008-03-01,2010-03-01,PG,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.19347104269409154,9.0,-0.04604999542236328
13,2008-03-01,2010-03-01,MA,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.12548632621383712,14.0,0.18979296684265137
14,2008-03-01,2010-03-01,HD,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.06213704235839814,13.0,0.15165902252197266
15,2008-03-01,2010-03-01,CVX,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.17311390054321255,15.0,-0.16985993041992187
