,start,end,stock,buy strategy,sell strategy,revenue,trade times,revenue if buy and hold
0,1/11/2021,1/11/2022,AAPL,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.331103836,8,0.02934593
1,1/11/2021,1/11/2022,MSFT,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.080311052,14,-0.291719971
2,1/11/2021,1/11/2022,AMZN,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.024440022,16,-0.380792999
3,1/11/2021,1/11/2022,NVDA,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.209564864,25,-0.468539954
4,1/11/2021,1/11/2022,GOOGL,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.21376828,17,-0.338010244
5,1/11/2021,1/11/2022,GOOG,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.261520465,19,-0.338886589
6,1/11/2021,1/11/2022,META,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.326249872,27,-0.710460022
7,1/11/2021,1/11/2022,TSLA,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.236369314,23,-0.420776038
8,1/11/2021,1/11/2022,BRK-B,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.174232,8,0.030090021
9,1/11/2021,1/11/2022,UNH,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.123272009,9,0.222288086
10,1/11/2021,1/11/2022,LLY,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.176495948,13,0.451119995
11,1/11/2021,1/11/2022,XOM,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.552715142,11,0.686736005
12,1/11/2021,1/11/2022,JPM,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.02053697,11,-0.254736034
13,1/11/2021,1/11/2022,JNJ,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.034328959,8,0.066794981
14,1/11/2021,1/11/2022,V,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.094324126,10,-0.024910014
15,1/11/2021,1/11/2022,AVGO,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.024715011,15,-0.104273987
16,1/11/2021,1/11/2022,PG,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.118828047,6,-0.055790009
17,1/11/2021,1/11/2022,MA,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.037286978,13,-0.017022986
18,1/11/2021,1/11/2022,HD,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.121191045,15,-0.189945016
19,1/11/2021,1/11/2022,CVX,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.784929888,8,0.577418958
20,1/11/2021,1/11/2022,MRK,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.244991977,7,0.150968007
21,1/11/2021,1/11/2022,ABBV,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.278731075,8,0.274832968
22,1/11/2021,1/11/2022,PEP,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.106212896,6,0.125984045
23,1/11/2021,1/11/2022,ADBE,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.063014003,15,-0.482550018
24,1/11/2021,1/11/2022,COST,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.313679088,9,0.01926001
25,1/11/2021,1/11/2022,KO,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.102729012,6,0.065504005
26,1/11/2021,1/11/2022,CSCO,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.075184976,9,-0.189925967
27,1/11/2021,1/11/2022,WMT,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.006046982,11,-0.049235944
28,1/11/2021,1/11/2022,TMO,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.16148196,15,-0.181695007
29,1/11/2021,1/11/2022,PFE,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.010938896,12,0.066638997
30,1/11/2021,1/11/2022,MCD,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.103823003,7,0.086112007
31,1/11/2021,1/11/2022,CRM,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.116938978,19,-0.462561044
32,1/11/2021,1/11/2022,ACN,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.059837887,13,-0.199976038
33,1/11/2021,1/11/2022,BAC,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.018509084,14,-0.245647949
34,1/11/2021,1/11/2022,NFLX,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.315579907,22,-0.545005969
35,1/11/2021,1/11/2022,CMCSA,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.064843997,10,-0.391931972
