,start,end,stock,buy strategy,sell strategy,revenue,trade times,revenue if buy and hold
0,2008-03-01,2009-03-01,AAPL,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.07226009516143822,4.0,-0.2663070964813232
1,2008-03-01,2009-03-01,MSFT,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.0,0.0,-0.40108000564575197
2,2008-03-01,2009-03-01,AMZN,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.02968673475837695,4.0,0.03779540977478028
3,2008-03-01,2009-03-01,NVDA,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.0,0.0,-0.6082779837608338
4,2008-03-01,2009-03-01,GOOGL,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.0195283328857422,2.0,-0.2603409362792969
5,2008-03-01,2009-03-01,GOOG,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.019412897186279223,2.0,-0.26029519500732423
6,2008-03-01,2009-03-01,BRK-B,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.03001601025390628,1.0,-0.427900016784668
7,2008-03-01,2009-03-01,UNH,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.07219002101898205,2.0,-0.5740499753952026
8,2008-03-01,2009-03-01,LLY,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.0,0.0,-0.41411898937225344
9,2008-03-01,2009-03-01,XOM,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.14063700988769523,5.0,-0.22430498275756836
10,2008-03-01,2009-03-01,JPM,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.0,0.0,-0.42594698276519777
11,2008-03-01,2009-03-01,JNJ,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.03885212332153333,4.0,-0.19567999267578126
12,2008-03-01,2009-03-01,PG,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.07325809753417979,3.0,-0.2727000045776367
13,2008-03-01,2009-03-01,MA,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.17930424013519314,7.0,-0.1618090238571167
14,2008-03-01,2009-03-01,HD,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.10653502384948733,3.0,-0.22878002815246581
15,2008-03-01,2009-03-01,CVX,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.06490297201538069,5.0,-0.30198597564697266
16,2008-03-01,2009-03-01,MRK,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.0,0.0,-0.44912405891418455
17,2008-03-01,2009-03-01,PEP,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.029920033203125057,1.0,-0.31282598266601563
18,2008-03-01,2009-03-01,ADBE,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.05506603948974589,4.0,-0.49126399536132814
19,2008-03-01,2009-03-01,COST,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.06195097982788084,6.0,-0.32070297088623045
20,2008-03-01,2009-03-01,KO,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.01115400773620604,1.0,-0.3070730335235596
21,2008-03-01,2009-03-01,CSCO,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.0,0.0,-0.4020469968795776
22,2008-03-01,2009-03-01,WMT,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.0036650350036617966,7.0,-0.012999954223632813
23,2008-03-01,2009-03-01,TMO,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.007539031250000152,2.0,-0.3447000274658203
24,2008-03-01,2009-03-01,PFE,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.0,0.0,-0.4460740188598633
25,2008-03-01,2009-03-01,MCD,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.09687107615661625,7.0,-0.017107997131347655
26,2008-03-01,2009-03-01,CRM,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.02990643534851042,10.0,-0.5230900077819824
27,2008-03-01,2009-03-01,ACN,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.16590299426269503,8.0,-0.16273401527404785
28,2008-03-01,2009-03-01,BAC,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.0,0.0,-0.8983650065660477
29,2008-03-01,2009-03-01,NFLX,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.06738773114204395,9.0,0.1712657512664795
30,2008-03-01,2009-03-01,CMCSA,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.018400088512420552,4.0,-0.346999979019165
31,2008-03-01,2009-03-01,LIN,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.07849103826904302,6.0,-0.2976599624633789
32,2008-03-01,2009-03-01,ABT,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.20721559938049294,8.0,-0.11049750328063965
33,2008-03-01,2009-03-01,ORCL,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.04295102433776883,5.0,-0.17970704221725464
34,2008-03-01,2009-03-01,AMD,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.0,0.0,-0.6773820239782333
35,2008-03-01,2009-03-01,DHR,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.008057790191650384,1.0,-0.3162433776855469
36,2008-03-01,2009-03-01,DIS,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.07664107307434079,4.0,-0.48171198120117187
37,2008-03-01,2009-03-01,WFC,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.17937293325042702,13.0,-0.580242015838623
38,2008-03-01,2009-03-01,TXN,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.0,0.0,-0.5203719974517822
39,2008-03-01,2009-03-01,INTC,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.059020010391235334,1.0,-0.3627730228424072
40,2008-03-01,2009-03-01,INTU,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.14584601951599124,6.0,-0.1521099433898926
41,2008-03-01,2009-03-01,CAT,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.006172006347656316,3.0,-0.6608239501953125
42,2008-03-01,2009-03-01,COP,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.12152862933349606,4.0,-0.5516221687316895
43,2008-03-01,2009-03-01,VZ,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.0,0.0,-0.21005279731750487
44,2008-03-01,2009-03-01,overall,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.14906782838592528,,-0.33979140589237217
trail stop=0.05, fixed stop loss=0.03, profit target=None
