,start,end,stock,buy point filter,sell strategy,revenue,trade times,revenue if buy and hold
0,2020-06-01,2021-06-01,AAPL,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_STOP,0.22041725781250024,6.0,0.5474289886474609
1,2020-06-01,2021-06-01,MSFT,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_STOP,-0.0255300065917967,6.0,0.36098995056152344
2,2020-06-01,2021-06-01,AMZN,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_STOP,0.08127513653564437,6.0,0.30081201171875
3,2020-06-01,2021-06-01,NVDA,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_STOP,0.07450080230712883,7.0,0.8405223327636718
4,2020-06-01,2021-06-01,GOOGL,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_STOP,0.0793502980041505,6.0,0.6407760864257812
5,2020-06-01,2021-06-01,GOOG,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_STOP,0.1463158263854981,5.0,0.6809192932128906
6,2020-06-01,2021-06-01,META,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_STOP,-0.03054502905273457,7.0,0.4163260314941406
7,2020-06-01,2021-06-01,TSLA,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_STOP,1.1412562467346197,7.0,2.480506594467163
8,2020-06-01,2021-06-01,BRK-B,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_STOP,0.34506297534179686,3.0,0.5702400329589844
9,2020-06-01,2021-06-01,UNH,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_STOP,0.08516406726074201,4.0,0.33916806640625
10,2020-06-01,2021-06-01,LLY,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_STOP,0.37615297662353514,4.0,0.3073850555419922
11,2020-06-01,2021-06-01,XOM,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_STOP,0.13711088520812972,6.0,0.26114400329589843
12,2020-06-01,2021-06-01,JPM,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_STOP,0.1815040451965335,6.0,0.662964070892334
