Date,cash,share,close price,MV,action,deal price,txn amt,total asset,latest high,+-,trigger
2022-08-01,10000.0,0,297.27667236328125,0.0,,,,10000.0,,,
2022-08-02,10000.0,0,300.586669921875,0.0,,,,10000.0,,,
2022-08-03,10000.0,0,307.39666748046875,0.0,,,,10000.0,,,
2022-08-04,10000.0,0,308.6333312988281,0.0,,,,10000.0,,,
2022-08-05,10000.0,0,288.1700134277344,0.0,,,,10000.0,,,
2022-08-08,10000.0,0,290.42333984375,0.0,,,,10000.0,,,
2022-08-09,10000.0,0,283.3333435058594,0.0,,,,10000.0,,,
2022-08-10,286.2302551269531,33,294.3566589355469,9713.769744873047,Action.BUY,294.3566589355469,9713.769744873047,10000.0,,,
2022-08-11,286.2302551269531,33,286.6300048828125,9458.790161132812,,,,9745.020416259766,294.3566589355469,,
2022-08-12,286.2302551269531,33,300.0299987792969,9900.989959716797,,,,10187.22021484375,300.0299987792969,,
2022-08-15,286.2302551269531,33,309.32000732421875,10207.560241699219,,,,10493.790496826172,309.32000732421875,,
2022-08-16,286.2302551269531,33,306.5633239746094,10116.58969116211,,,,10402.819946289062,309.32000732421875,,
2022-08-17,286.2302551269531,33,303.9966735839844,10031.890228271484,,,,10318.120483398438,309.32000732421875,,
2022-08-18,286.2302551269531,33,302.8699951171875,9994.709838867188,,,,10280.94009399414,309.32000732421875,,
2022-08-19,286.2302551269531,33,296.6666564941406,9789.99966430664,,,,10076.229919433594,309.32000732421875,,
2022-08-22,9983.280255126954,0,289.913330078125,0.0,Action.SELL,293.85,9697.050000000001,9983.280255126954,309.32000732421875,-0.0017212416304052142,trail stop
2022-08-23,9983.280255126954,0,296.4533386230469,0.0,,,,9983.280255126954,,,
2022-08-24,9983.280255126954,0,297.0966796875,0.0,,,,9983.280255126954,,,
2022-08-25,9983.280255126954,0,296.07000732421875,0.0,,,,9983.280255126954,,,
2022-08-26,9983.280255126954,0,288.0899963378906,0.0,,,,9983.280255126954,,,
2022-08-29,9983.280255126954,0,284.82000732421875,0.0,,,,9983.280255126954,,,
2022-08-30,9983.280255126954,0,277.70001220703125,0.0,,,,9983.280255126954,,,
2022-08-31,9983.280255126954,0,275.6099853515625,0.0,,,,9983.280255126954,,,
2022-09-01,9983.280255126954,0,277.1600036621094,0.0,,,,9983.280255126954,,,
2022-09-02,9983.280255126954,0,270.2099914550781,0.0,,,,9983.280255126954,,,
2022-09-06,9983.280255126954,0,274.4200134277344,0.0,,,,9983.280255126954,,,
2022-09-07,9983.280255126954,0,283.70001220703125,0.0,,,,9983.280255126954,,,
2022-09-08,9983.280255126954,0,289.260009765625,0.0,,,,9983.280255126954,,,
2022-09-09,9983.280255126954,0,299.67999267578125,0.0,,,,9983.280255126954,,,
2022-09-12,9983.280255126954,0,304.4200134277344,0.0,,,,9983.280255126954,,,
2022-09-13,9983.280255126954,0,292.1300048828125,0.0,,,,9983.280255126954,,,
2022-09-14,9983.280255126954,0,302.6099853515625,0.0,,,,9983.280255126954,,,
2022-09-15,9983.280255126954,0,303.75,0.0,,,,9983.280255126954,,,
2022-09-16,9983.280255126954,0,303.3500061035156,0.0,,,,9983.280255126954,,,
2022-09-19,93.04002075195422,32,309.07000732421875,9890.240234375,Action.BUY,309.07000732421875,9890.240234375,9983.280255126954,,,
2022-09-20,93.04002075195422,32,308.7300109863281,9879.3603515625,,,,9972.400372314454,309.07000732421875,,
2022-09-21,93.04002075195422,32,300.79998779296875,9625.599609375,,,,9718.639630126954,309.07000732421875,,
2022-09-22,9488.560020751955,0,288.5899963378906,0.0,Action.SELL,293.61,9395.52,9488.560020751955,309.07000732421875,-0.050021053346664505,trail stop
2022-09-23,9488.560020751955,0,275.3299865722656,0.0,,,,9488.560020751955,,,
2022-09-26,9488.560020751955,0,276.010009765625,0.0,,,,9488.560020751955,,,
2022-09-27,9488.560020751955,0,282.94000244140625,0.0,,,,9488.560020751955,,,
2022-09-28,9488.560020751955,0,287.80999755859375,0.0,,,,9488.560020751955,,,
2022-09-29,9488.560020751955,0,268.2099914550781,0.0,,,,9488.560020751955,,,
2022-09-30,9488.560020751955,0,265.25,0.0,,,,9488.560020751955,,,
2022-10-03,9488.560020751955,0,242.39999389648438,0.0,,,,9488.560020751955,,,
2022-10-04,9488.560020751955,0,249.44000244140625,0.0,,,,9488.560020751955,,,
2022-10-05,9488.560020751955,0,240.80999755859375,0.0,,,,9488.560020751955,,,
2022-10-06,9488.560020751955,0,238.1300048828125,0.0,,,,9488.560020751955,,,
2022-10-07,9488.560020751955,0,223.07000732421875,0.0,,,,9488.560020751955,,,
2022-10-10,9488.560020751955,0,222.9600067138672,0.0,,,,9488.560020751955,,,
2022-10-11,9488.560020751955,0,216.5,0.0,,,,9488.560020751955,,,
2022-10-12,9488.560020751955,0,217.24000549316406,0.0,,,,9488.560020751955,,,
2022-10-13,9488.560020751955,0,221.72000122070312,0.0,,,,9488.560020751955,,,
2022-10-14,9488.560020751955,0,204.99000549316406,0.0,,,,9488.560020751955,,,
2022-10-17,9488.560020751955,0,219.35000610351562,0.0,,,,9488.560020751955,,,
2022-10-18,9488.560020751955,0,220.19000244140625,0.0,,,,9488.560020751955,,,
2022-10-19,9488.560020751955,0,222.0399932861328,0.0,,,,9488.560020751955,,,
2022-10-20,9488.560020751955,0,207.27999877929688,0.0,,,,9488.560020751955,,,
2022-10-21,9488.560020751955,0,214.44000244140625,0.0,,,,9488.560020751955,,,
2022-10-24,9488.560020751955,0,211.25,0.0,,,,9488.560020751955,,,
2022-10-25,9488.560020751955,0,222.4199981689453,0.0,,,,9488.560020751955,,,
2022-10-26,9488.560020751955,0,224.63999938964844,0.0,,,,9488.560020751955,,,
2022-10-27,9488.560020751955,0,225.08999633789062,0.0,,,,9488.560020751955,,,
2022-10-28,9488.560020751955,0,228.52000427246094,0.0,,,,9488.560020751955,,,
2022-10-31,9488.560020751955,0,227.5399932861328,0.0,,,,9488.560020751955,,,
2022-11-01,9488.560020751955,0,227.82000732421875,0.0,,,,9488.560020751955,,,
2022-11-02,9488.560020751955,0,214.97999572753906,0.0,,,,9488.560020751955,,,
2022-11-03,9488.560020751955,0,215.30999755859375,0.0,,,,9488.560020751955,,,
2022-11-04,9488.560020751955,0,207.47000122070312,0.0,,,,9488.560020751955,,,
2022-11-07,9488.560020751955,0,197.0800018310547,0.0,,,,9488.560020751955,,,
2022-11-08,9488.560020751955,0,191.3000030517578,0.0,,,,9488.560020751955,,,
2022-11-09,9488.560020751955,0,177.58999633789062,0.0,,,,9488.560020751955,,,
2022-11-10,9488.560020751955,0,190.72000122070312,0.0,,,,9488.560020751955,,,
2022-11-11,9488.560020751955,0,195.97000122070312,0.0,,,,9488.560020751955,,,
2022-11-14,9488.560020751955,0,190.9499969482422,0.0,,,,9488.560020751955,,,
2022-11-15,9488.560020751955,0,194.4199981689453,0.0,,,,9488.560020751955,,,
2022-11-16,9488.560020751955,0,186.9199981689453,0.0,,,,9488.560020751955,,,
2022-11-17,9488.560020751955,0,183.1699981689453,0.0,,,,9488.560020751955,,,
2022-11-18,9488.560020751955,0,180.19000244140625,0.0,,,,9488.560020751955,,,
2022-11-21,9488.560020751955,0,167.8699951171875,0.0,,,,9488.560020751955,,,
2022-11-22,9488.560020751955,0,169.91000366210938,0.0,,,,9488.560020751955,,,
2022-11-23,9488.560020751955,0,183.1999969482422,0.0,,,,9488.560020751955,,,
2022-11-25,9488.560020751955,0,182.86000061035156,0.0,,,,9488.560020751955,,,
2022-11-28,9488.560020751955,0,182.9199981689453,0.0,,,,9488.560020751955,,,
2022-11-29,9488.560020751955,0,180.8300018310547,0.0,,,,9488.560020751955,,,
2022-11-30,142.96016723632965,48,194.6999969482422,9345.599853515625,Action.BUY,194.6999969482422,9345.599853515625,9488.560020751955,,,
2022-12-01,142.96016723632965,48,194.6999969482422,9345.599853515625,,,,9488.560020751955,194.6999969482422,,
2022-12-02,142.96016723632965,48,194.86000061035156,9353.280029296875,,,,9496.240196533205,194.86000061035156,,
2022-12-05,9028.24016723633,0,182.4499969482422,0.0,Action.SELL,185.11,8885.28,9028.24016723633,194.86000061035156,-0.04925524960738196,trail stop
2022-12-06,9028.24016723633,0,179.82000732421875,0.0,,,,9028.24016723633,,,
2022-12-07,9028.24016723633,0,174.0399932861328,0.0,,,,9028.24016723633,,,
2022-12-08,9028.24016723633,0,173.44000244140625,0.0,,,,9028.24016723633,,,
2022-12-09,9028.24016723633,0,179.0500030517578,0.0,,,,9028.24016723633,,,
2022-12-12,9028.24016723633,0,167.82000732421875,0.0,,,,9028.24016723633,,,
2022-12-13,9028.24016723633,0,160.9499969482422,0.0,,,,9028.24016723633,,,
2022-12-14,9028.24016723633,0,156.8000030517578,0.0,,,,9028.24016723633,,,
2022-12-15,9028.24016723633,0,157.6699981689453,0.0,,,,9028.24016723633,,,
2022-12-16,9028.24016723633,0,150.22999572753906,0.0,,,,9028.24016723633,,,
2022-12-19,9028.24016723633,0,149.8699951171875,0.0,,,,9028.24016723633,,,
2022-12-20,9028.24016723633,0,137.8000030517578,0.0,,,,9028.24016723633,,,
2022-12-21,9028.24016723633,0,137.57000732421875,0.0,,,,9028.24016723633,,,
2022-12-22,9028.24016723633,0,125.3499984741211,0.0,,,,9028.24016723633,,,
2022-12-23,9028.24016723633,0,123.1500015258789,0.0,,,,9028.24016723633,,,
2022-12-27,9028.24016723633,0,109.0999984741211,0.0,,,,9028.24016723633,,,
2022-12-28,9028.24016723633,0,112.70999908447266,0.0,,,,9028.24016723633,,,
2022-12-29,9028.24016723633,0,121.81999969482422,0.0,,,,9028.24016723633,,,
2022-12-30,9028.24016723633,0,123.18000030517578,0.0,,,,9028.24016723633,,,
2023-01-03,9028.24016723633,0,108.0999984741211,0.0,,,,9028.24016723633,,,
2023-01-04,9028.24016723633,0,113.63999938964844,0.0,,,,9028.24016723633,,,
2023-01-05,9028.24016723633,0,110.33999633789062,0.0,,,,9028.24016723633,,,
2023-01-06,9028.24016723633,0,113.05999755859375,0.0,,,,9028.24016723633,,,
2023-01-09,9028.24016723633,0,119.7699966430664,0.0,,,,9028.24016723633,,,
2023-01-10,9028.24016723633,0,118.8499984741211,0.0,,,,9028.24016723633,,,
2023-01-11,33.18007812500218,73,123.22000122070312,8995.060089111328,Action.BUY,123.22000122070312,8995.060089111328,9028.24016723633,,,
