,start,end,stock,buy strategy,sell strategy,revenue,trade times,revenue if buy and hold
0,2021-11-01,2022-11-01,AAPL,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.13527994958496092,4.0,0.02934593048095703
1,2021-11-01,2022-11-01,MSFT,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.18027098706054712,7.0,-0.291719970703125
2,2021-11-01,2022-11-01,AMZN,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.006033347625732495,6.0,-0.38079299926757815
3,2021-11-01,2022-11-01,NVDA,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.14096104675292973,4.0,-0.46853995361328127
4,2021-11-01,2022-11-01,GOOGL,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.08253626843261737,5.0,-0.3380102439880371
5,2021-11-01,2022-11-01,GOOG,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.15409645156860333,6.0,-0.33888658905029295
6,2021-11-01,2022-11-01,META,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.020043931823730782,7.0,-0.7104600219726562
7,2021-11-01,2022-11-01,TSLA,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.13360934942626954,9.0,-0.42077603759765625
8,2021-11-01,2022-11-01,BRK-B,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.1173649415283202,6.0,0.030090020751953123
9,2021-11-01,2022-11-01,UNH,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.11658009033203125,4.0,0.2222880859375
10,2021-11-01,2022-11-01,LLY,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.12624797155761716,6.0,0.4511199951171875
11,2021-11-01,2022-11-01,XOM,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.2173820053710937,6.0,0.6867360046386719
12,2021-11-01,2022-11-01,JPM,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.02752296408081056,4.0,-0.2547360336303711
13,2021-11-01,2022-11-01,JNJ,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.02235906524658203,4.0,0.06679498138427735
14,2021-11-01,2022-11-01,V,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.07127700372314448,5.0,-0.02491001434326172
15,2021-11-01,2022-11-01,AVGO,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.06141792053222653,7.0,-0.10427398681640625
16,2021-11-01,2022-11-01,PG,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.06943300030517585,3.0,-0.055790008544921874
17,2021-11-01,2022-11-01,MA,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.06886194653320309,7.0,-0.01702298583984375
18,2021-11-01,2022-11-01,HD,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.027532000244140726,7.0,-0.1899450164794922
19,2021-11-01,2022-11-01,CVX,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.44415098001098613,5.0,0.5774189575195312
20,2021-11-01,2022-11-01,MRK,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.28922087908935556,5.0,0.15096800689697265
21,2021-11-01,2022-11-01,ABBV,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.2626438963012697,5.0,0.2748329681396484
22,2021-11-01,2022-11-01,PEP,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.07897407641601567,4.0,0.12598404541015626
23,2021-11-01,2022-11-01,ADBE,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.08229892578125,10.0,-0.4825500183105469
24,2021-11-01,2022-11-01,COST,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.17971012377929693,6.0,0.019260009765625
25,2021-11-01,2022-11-01,KO,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.02461389451599116,4.0,0.0655040054321289
26,2021-11-01,2022-11-01,CSCO,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.06435508728027343,6.0,-0.18992596740722656
27,2021-11-01,2022-11-01,WMT,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.161246051940918,4.0,-0.049235943603515624
28,2021-11-01,2022-11-01,TMO,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.07828907128906248,5.0,-0.18169500732421875
29,2021-11-01,2022-11-01,PFE,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.09102798014831551,5.0,0.0666389965057373
30,2021-11-01,2022-11-01,MCD,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.033269013732910205,5.0,0.08611200714111328
31,2021-11-01,2022-11-01,CRM,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.060570992248535,7.0,-0.46256104431152345
32,2021-11-01,2022-11-01,ACN,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.07633205151367164,6.0,-0.19997603759765625
33,2021-11-01,2022-11-01,BAC,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.10265393113708488,4.0,-0.24564794921875
34,2021-11-01,2022-11-01,NFLX,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.10586890661621128,8.0,-0.5450059692382813
35,2021-11-01,2022-11-01,CMCSA,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.013881076843261326,4.0,-0.39193197231292726
36,2021-11-01,2022-11-01,LIN,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.02844503747558556,6.0,-0.0768599853515625
37,2021-11-01,2022-11-01,ABT,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.09494303472900392,6.0,-0.231
38,2021-11-01,2022-11-01,ORCL,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.11431513287353537,5.0,-0.17125497436523437
39,2021-11-01,2022-11-01,AMD,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.004193060119628899,8.0,-0.5148430156707764
40,2021-11-01,2022-11-01,DHR,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.028698970703125087,4.0,-0.185631982421875
41,2021-11-01,2022-11-01,DIS,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.07219196093749997,7.0,-0.36917000885009765
42,2021-11-01,2022-11-01,WFC,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.057080958770752116,6.0,-0.11039594993591309
43,2021-11-01,2022-11-01,TXN,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.07624298126220692,5.0,-0.1422519805908203
44,2021-11-01,2022-11-01,PM,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.26957001461791985,5.0,-0.01679899673461914
