,start,end,stock,buy point filter,sell strategy,revenue,trade times,revenue if buy and hold
0,2023-01-01,2023-08-20,AAPL,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_AND_FIXED_SL,0.09948595367431644,2.0,0.3904180458068848
1,2023-01-01,2023-08-20,MSFT,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_AND_FIXED_SL,0.10600400659179686,3.0,0.3152900375366211
2,2023-01-01,2023-08-20,AMZN,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_AND_FIXED_SL,0.13577392218017575,5.0,0.5498400177001953
3,2023-01-01,2023-08-20,NVDA,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_AND_FIXED_SL,-0.08617990557861321,3.0,1.9998959747314453
4,2023-01-01,2023-08-20,GOOGL,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_AND_FIXED_SL,0.11758299346923813,4.0,0.429407958984375
5,2023-01-01,2023-08-20,GOOG,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_AND_FIXED_SL,0.12141001623535176,4.0,0.42635104064941404
6,2023-01-01,2023-08-20,META,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_AND_FIXED_SL,0.6560209186401368,3.0,1.2680800170898439
7,2023-01-01,2023-08-20,TSLA,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_AND_FIXED_SL,0.33357398492431656,3.0,0.9879880645751953
8,2023-01-01,2023-08-20,BRK-B,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_AND_FIXED_SL,0.14012802734375,1.0,0.13647998046875
9,2023-01-01,2023-08-20,UNH,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_AND_FIXED_SL,-0.07526197644042949,3.0,-0.038380023193359376
