,start,end,stock,buy point filter,sell strategy,revenue,trade times,revenue if buy and hold
0,2008-03-01,2009-03-01,AAPL,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_STOP,0.1842466501693727,6.0,-0.2663070964813232
1,2008-03-01,2009-03-01,MSFT,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_STOP,0.067519965621948,4.0,-0.40108000564575197
2,2008-03-01,2009-03-01,AMZN,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_STOP,-0.17219214069366462,9.0,0.03779540977478028
3,2008-03-01,2009-03-01,NVDA,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_STOP,0.19831400442123376,8.0,-0.6082779837608338
4,2008-03-01,2009-03-01,GOOGL,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_STOP,0.24439356537055973,6.0,-0.2603409362792969
5,2008-03-01,2009-03-01,GOOG,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_STOP,0.2446914052333832,6.0,-0.26029519500732423
6,2008-03-01,2009-03-01,BRK-B,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_STOP,-0.024616030654907264,4.0,-0.427900016784668
7,2008-03-01,2009-03-01,UNH,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_STOP,0.33165609222412096,5.0,-0.5740499753952026
8,2008-03-01,2009-03-01,LLY,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_STOP,0.07443203134155264,3.0,-0.41411898937225344
9,2008-03-01,2009-03-01,XOM,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_STOP,-0.1546900379333494,5.0,-0.22430498275756836
10,2008-03-01,2009-03-01,JPM,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_STOP,-0.18488696144104014,7.0,-0.42594698276519777
11,2008-03-01,2009-03-01,JNJ,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_STOP,-0.09977307934570308,5.0,-0.19567999267578126
12,2008-03-01,2009-03-01,PG,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_STOP,-0.054856899932861414,5.0,-0.2727000045776367
13,2008-03-01,2009-03-01,MA,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_STOP,-0.05751104937362652,9.0,-0.1618090238571167
14,2008-03-01,2009-03-01,HD,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_STOP,-0.08376698886108425,7.0,-0.22878002815246581
15,2008-03-01,2009-03-01,CVX,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_STOP,-0.10262992935180627,6.0,-0.30198597564697266
16,2008-03-01,2009-03-01,MRK,"RISING_PEAK, CONVERGING_DROP, ",SellStrategy.TRAILING_STOP,-0.08298948110198943,6.0,-0.44912405891418455
