,start,end,stock,buy point filter,sell strategy,revenue,trade times,revenue if buy and hold
0,2008-03-01,2009-03-01,AAPL,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.048941684637070465,18.0,-0.2663070964813232
1,2008-03-01,2009-03-01,MSFT,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,-0.24362789522552447,18.0,-0.40108000564575197
2,2008-03-01,2009-03-01,AMZN,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.5899634028692246,15.0,0.03779540977478028
3,2008-03-01,2009-03-01,NVDA,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.5725543902001374,27.0,-0.6082779837608338
4,2008-03-01,2009-03-01,GOOGL,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,-0.010785898097991959,18.0,-0.2603409362792969
5,2008-03-01,2009-03-01,GOOG,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,-0.011101789466857736,18.0,-0.26029519500732423
6,2008-03-01,2009-03-01,BRK-B,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,-0.2730630213012697,16.0,-0.427900016784668
7,2008-03-01,2009-03-01,UNH,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.2861670566482542,16.0,-0.5740499753952026
8,2008-03-01,2009-03-01,LLY,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,-0.014459998519897453,11.0,-0.41411898937225344
9,2008-03-01,2009-03-01,XOM,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,-0.3269000541687009,15.0,-0.22430498275756836
10,2008-03-01,2009-03-01,JPM,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,-0.08701105287933424,28.0,-0.42594698276519777
11,2008-03-01,2009-03-01,JNJ,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,-0.14581904981994648,10.0,-0.19567999267578126
12,2008-03-01,2009-03-01,PG,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,-0.1612941225280767,10.0,-0.2727000045776367
13,2008-03-01,2009-03-01,MA,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.27484562976074284,21.0,-0.1618090238571167
14,2008-03-01,2009-03-01,HD,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.0003101626739502535,18.0,-0.22878002815246581
15,2008-03-01,2009-03-01,CVX,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,-0.0855019710540766,15.0,-0.30198597564697266
16,2008-03-01,2009-03-01,MRK,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,-0.24690125211334235,17.0,-0.44912405891418455
17,2008-03-01,2009-03-01,PEP,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,-0.15110109060668964,10.0,-0.31282598266601563
18,2008-03-01,2009-03-01,ADBE,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.12538014495849603,17.0,-0.49126399536132814
19,2008-03-01,2009-03-01,COST,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.04914406311035145,10.0,-0.32070297088623045
20,2008-03-01,2009-03-01,KO,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,-0.27948796499633827,14.0,-0.3070730335235596
21,2008-03-01,2009-03-01,CSCO,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,-0.23925003367614772,18.0,-0.4020469968795776
22,2008-03-01,2009-03-01,WMT,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,-0.061942095016479654,12.0,-0.012999954223632813
23,2008-03-01,2009-03-01,TMO,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.12782510778808592,11.0,-0.3447000274658203
24,2008-03-01,2009-03-01,PFE,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,-0.11265311337280273,10.0,-0.4460740188598633
25,2008-03-01,2009-03-01,MCD,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,-0.03392795129394526,9.0,-0.017107997131347655
26,2008-03-01,2009-03-01,CRM,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,-0.21383668183326682,26.0,-0.5230900077819824
27,2008-03-01,2009-03-01,ACN,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,-0.13369701499176007,14.0,-0.16273401527404785
28,2008-03-01,2009-03-01,BAC,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.5207437042608266,27.0,-0.8983650065660477
29,2008-03-01,2009-03-01,NFLX,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.06483283690261869,21.0,0.1712657512664795
30,2008-03-01,2009-03-01,CMCSA,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,-0.05504088713264482,18.0,-0.346999979019165
31,2008-03-01,2009-03-01,LIN,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,-0.11225210113525354,20.0,-0.2976599624633789
32,2008-03-01,2009-03-01,ABT,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,-0.07169823246765118,8.0,-0.11049750328063965
33,2008-03-01,2009-03-01,ORCL,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.034188879989624,15.0,-0.17970704221725464
34,2008-03-01,2009-03-01,AMD,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.8084936267614364,18.0,-0.6773820239782333
35,2008-03-01,2009-03-01,DHR,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,-0.20289163089752218,14.0,-0.3162433776855469
36,2008-03-01,2009-03-01,DIS,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,-0.04511607710266053,13.0,-0.48171198120117187
37,2008-03-01,2009-03-01,WFC,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.09234721787261933,26.0,-0.580242015838623
38,2008-03-01,2009-03-01,TXN,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,-0.0987219071540836,19.0,-0.5203719974517822
39,2008-03-01,2009-03-01,INTC,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,-0.0937791641960146,18.0,-0.3627730228424072
40,2008-03-01,2009-03-01,INTU,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,-0.13397586970520023,14.0,-0.1521099433898926
41,2008-03-01,2009-03-01,CAT,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.012223120437621764,17.0,-0.6608239501953125
42,2008-03-01,2009-03-01,COP,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.02776298838806215,16.0,-0.5516221687316895
43,2008-03-01,2009-03-01,VZ,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,-0.10517488469696036,15.0,-0.21005279731750487
44,2008-03-01,2009-03-01,overall,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,-0.12230577576382633,,-0.33979140589237217
trail stop=0.05, fixed stop loss=None, profit target=None
